Sequence,EventName,ClientComponent,ClientFunction,ServerComponent,ServerFunction,RelationshipType,EventTimestamp
117,complete,/tests/Logging/CPSLoggerTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.541085Z
118,handleExpr,/tests/Logging/CPSLoggerTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.542085Z
119,set,/extern/cpp_redis/sources/builders/bulk_string_builder.cpp,build_reply,/extern/cpp_redis/includes/cpp_redis/core/reply.hpp,set,Command,2026-05-22T12:42:09.543085Z
120,redis_connection,/extern/cpp_redis/sources/network/redis_connection.cpp,redis_connection,/extern/cpp_redis/includes/cpp_redis/network/redis_connection.hpp,redis_connection,Command,2026-05-22T12:42:09.544085Z
121,getInstance,/include/cpsCore/Utilities/EnumMap.hpp,initialize,/include/cpsCore/Utilities/EnumMap.hpp,getInstance,Command,2026-05-22T12:42:09.545085Z
122,getAll,/src/Synchronization/SimpleRunner.cpp,runStage,/include/cpsCore/Aggregation/Aggregator.h,getAll,Command,2026-05-22T12:42:09.546085Z
123,reply_ready,/extern/cpp_redis/sources/builders/error_builder.cpp,reply_ready,/extern/cpp_redis/includes/cpp_redis/builders/simple_string_builder.hpp,reply_ready,Command,2026-05-22T12:42:09.547085Z
124,disconnect,/extern/cpp_redis/tacopie/sources/network/tcp_client.cpp,~tcp_client,/extern/cpp_redis/tacopie/includes/tacopie/network/tcp_client.hpp,disconnect,Command,2026-05-22T12:42:09.548085Z
125,stop,/extern/cpp_redis/tacopie/sources/network/tcp_server.cpp,~tcp_server,/extern/cpp_redis/tacopie/includes/tacopie/network/tcp_server.hpp,stop,Command,2026-05-22T12:42:09.549085Z
126,getAll,/src/Synchronization/AggregatableRunner.cpp,notifyAggregationOnUpdate,/include/cpsCore/Aggregation/Aggregator.h,getAll,Command,2026-05-22T12:42:09.550085Z
127,getInstance,/src/Utilities/Test/TestInfo.cpp,test_dir,/include/cpsCore/Utilities/Test/TestInfo.h,getInstance,Command,2026-05-22T12:42:09.551085Z
128,push,/extern/cpp_redis/sources/core/types.cpp,xmessage,/extern/cpp_redis/includes/cpp_redis/impl/types.hpp,push,Command,2026-05-22T12:42:09.552085Z
129,stop,/extern/cpp_redis/tacopie/sources/utils/thread_pool.cpp,~thread_pool,/extern/cpp_redis/tacopie/includes/tacopie/utils/thread_pool.hpp,stop,Command,2026-05-22T12:42:09.553085Z
130,mergeInto,/src/Aggregation/Aggregator.cpp,merge,/include/cpsCore/Aggregation/Aggregator.h,mergeInto,Command,2026-05-22T12:42:09.554085Z
131,append,/src/Utilities/DataPresentation/detail/BasicSerialization.cpp,store,/include/cpsCore/Utilities/DataPresentation/detail/File/FileToArchive.h,append,Command,2026-05-22T12:42:09.555085Z
132,is_connected,/extern/cpp_redis/sources/network/tcp_client.cpp,is_connected,/extern/cpp_redis/tacopie/includes/tacopie/network/tcp_client.hpp,is_connected,Command,2026-05-22T12:42:09.556085Z
133,notifyAggregationOnUpdate,/src/Aggregation/Aggregator.cpp,merge,/include/cpsCore/Aggregation/DynamicContainer/DynamicObjectContainer.h,notifyAggregationOnUpdate,Command,2026-05-22T12:42:09.557085Z
134,cancel,/src/Utilities/IPC/detail/SharedMemorySubscriptionImpl.cpp,~SharedMemorySubscriptionImpl,/include/cpsCore/Utilities/IPC/detail/SharedMemorySubscriptionImpl.h,cancel,Command,2026-05-22T12:42:09.558085Z
135,complete,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_4,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.559085Z
136,handleExpr,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_4,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.560085Z
137,margin,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_4,/extern/Catch2/single_include/catch2/catch.hpp,margin,Command,2026-05-22T12:42:09.561085Z
138,run,/src/Synchronization/SimpleRunner.cpp,runStage,/include/cpsCore/Synchronization/IRunnableObject.h,run,Command,2026-05-22T12:42:09.562085Z
139,stream,/src/Synchronization/SynchronizedRunnerMaster.cpp,SynchronizedRunnerMaster,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.563085Z
140,get,/src/Utilities/IDC/IDC.cpp,sendPacket,/include/cpsCore/Aggregation/AggregatableObject.hpp,get,Command,2026-05-22T12:42:09.564085Z
141,disconnect,/src/Utilities/IDC/NetworkLayer/Redis/RedisSubscriber.cpp,cancel,/extern/cpp_redis/includes/cpp_redis/core/subscriber.hpp,disconnect,Command,2026-05-22T12:42:09.565085Z
142,addVector,/tests/Configuration/PropertyMapperTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Configuration/PropertyMapper.hpp,addVector,Command,2026-05-22T12:42:09.566085Z
143,is_connected,/extern/cpp_redis/sources/core/sentinel.cpp,~sentinel,/extern/cpp_redis/includes/cpp_redis/network/redis_connection.hpp,is_connected,Command,2026-05-22T12:42:09.567085Z
